age,sex,race_ethnicity,household_income,n
73,1,4,below_median,1
73,1,5,above_median,1
73,1,5,below_median,1
73,2,1,above_median,1
73,2,1,below_median,1
73,2,2,above_median,1
73,2,2,below_median,1
73,2,3,above_median,1
73,2,3,below_median,1
73,2,4,above_median,1
73,2,4,below_median,1
73,2,5,above_median,1
73,2,5,below_median,1
74,1,1,above_median,1
74,1,1,below_median,1
74,1,2,above_median,1
74,1,2,below_median,1
74,1,3,above_median,1
74,1,3,below_median,1
74,1,4,above_median,1
74,1,4,below_median,1
74,1,5,above_median,1
74,1,5,below_median,1
74,2,1,above_median,1
74,2,1,below_median,1
74,2,2,above_median,1
74,2,2,below_median,1
74,2,3,above_median,1
74,2,3,below_median,1
74,2,4,above_median,1
74,2,4,below_median,1
74,2,5,above_median,1
74,2,5,below_median,1
75,1,1,above_median,1
75,1,1,below_median,1
75,1,2,above_median,1
75,1,2,below_median,1
75,1,3,above_median,1
75,1,3,below_median,1
75,1,4,above_median,1
75,1,4,below_median,1
75,1,5,above_median,1
75,1,5,below_median,1
75,2,1,above_median,1
75,2,1,below_median,1
75,2,2,above_median,1
75,2,2,below_median,1
75,2,3,above_median,1
75,2,3,below_median,1
75,2,4,above_median,1
75,2,4,below_median,1
